username,time,date,post,query
@Celebrities24x7,17:06:35,2024-05-30,Celebrities wonder if endorsing Biden 'worth' the scrutiny in increasingly polarized world: Report - Fox News,celebrities
@Celebritygenie,17:06:29,2024-05-30,Nah you sabi.,celebrities
@ZackDTaylor,17:06:26,2024-05-30,Why are lying Zionists like you always at the top of the Twitter feed even though I never follow celebrity Zionists?,celebrities
@bobsmith1819,17:06:21,2024-05-30,Makes sense to me. Who cares about what celebrities think or do?,celebrities
@Celebrity19_,17:06:15,2024-05-30,Ahswear down ,celebrities
@muzukihisa,17:06:06,2024-05-30,"A Taiwan celebrity named Mizuki Lin (林襄)’s birthday’s on Sept. 5.

I dislike a Cantonese speaking obese-ish racist female principal with obvious double eyelids whose birthday’s also on Sept. 5, but I need everyone to know it’s an exception－I DON’T DISLIKE THE BIRTHDAY SEPT. 5.",celebrities
@itzrocky_24,17:06:04,2024-05-30,TL new Celebrity neethan ,celebrities
@sweetztjenz,17:06:01,2024-05-30,They are in the government. They are the celebrities you see. Most of them are inverts as well aka the opposite gender. @MAVERIC68078049 exposes them.,celebrities
@SteveSNunya,17:05:59,2024-05-30,"He’s a celebrity.

And you’re the one who wants someone to be prez because he’s you’re favorite celebrity, so ",celebrities
@0xbobx,17:05:57,2024-05-30,checking the timeline to see if we have stopped talking about celebrities yet,celebrities
@TheCryptoviser,17:05:44,2024-05-30,"NEW VIDEO

$ICP, Aptos, NEAR are WINNING | BITFARMS ""TAKEOVER"" | BUYING SOLANA | Celebrity SH!TCOINS

Watch on my channel ",celebrities
@HCristyn_,17:05:42,2024-05-30,"Eh, what pro pal army am I attacking? I simply don't agree with army limiting their activism to celebrities. Not listening to b7s music will not make that disgusting  be fired, he is protected by his country's law.",celebrities
@AwaisQasimOO7,17:05:39,2024-05-30,"Yes they are just like you ,you are paid to instigate people against these celebrities who are supporting Palestine.",celebrities
@WigleyRobyn,17:05:30,2024-05-30,"Why do celebrities think that we the people care what they think, I am an individual with my own beliefs, just because they are not the same as yours doesn’t make me bad, I have the right to my own opinion.",celebrities
@biggestjiminer,17:05:30,2024-05-30,i do realize celebrities being propal is Rare atp but we rly jus want 4 smth 2 change n that they use their big platforms 2 put donation links n share propal posts or speak up fully ab it,celebrities
@XIIISerendipity,17:05:29,2024-05-30,"“Bts downfall” Yes, that's what they want and they don't care about the issue... Fuck you who don't move unless the celebrities talk",celebrities
@CanadaDistress,17:05:23,2024-05-30,"And....there goes another ""celebrity"" I'll never watch/listen to again",celebrities
@Official_TVC,17:05:22,2024-05-30,"THE WAY MY HEART DROPPED!!!
VIVIANNE!!!! STOP PLAYING WITH MEEEEEEE!!!!! ",celebrities
@wildflowerjoon_,17:05:21,2024-05-30,Many celebrities have spoken up and their careers are just fine. There’s no excuse for BTS  continued silence. #SpeakYourself #ARMYSforPalestine,celebrities
@Vitaminndeee,17:05:20,2024-05-30,Thank you for posting someone you know and not a celebrity. She looks amazing by the way ,celebrities
@jajjangmyeon___,17:05:18,2024-05-30,"I used to love Agnez Mo, but I'm so disappointed  when she posted this IGS. I thought she was smart, but how could she be this clueless? She said to stop the 'war'. What war?  And now her fans are backing her up? NOPE! I would never support a celebrity over humanity ",celebrities
@imluidji,17:05:17,2024-05-30,"« Veni, vidi, vici, they’re too stupidici, it was so easyci » - a random washed up celebrity",celebrities
