username,time,date,post,query
@HallJennif44651,16:46:02,2024-05-30,8262181269 Feel politics south mouth book point daughter.        ,politics
@firesirianni1,16:46:01,2024-05-30,"You’re the problem, if anyone disagrees with an opinion you have you label them a condescending term. It’s pathetic that you people can’t have a debate and resort to name calling. Star Wars is dead, marvel is dead. Disney allowed politics to influence media and isolated true fans",politics
@the4thpip,16:46:01,2024-05-30,"Your whataboutism is noted.
It does not reduce the corruption of the AfD. Glad I could clear that up. Get better material",politics
@sjames1132,16:46:00,2024-05-30,"It's equivalent to the old BBC having Oswald Mosley installed as a resident panellist on ""What's My Line?"" or as the regular sidekick of Muffin the Mule. His mere presence endorses his politics.",politics
@BigDon42069,16:45:56,2024-05-30,They’re not “Trump guys” if they’ve been in politics way longer than Trump has. They’re part of the problem.,politics
@bmc875,16:45:55,2024-05-30,"Policing really is devolved. But Wales declined the offer. It is important to be specific.  Wales is a strange place when it comes to politics and constitution. 

And the Barnett formula is operating as designed. Corruptly.",politics
@valda_war_witch,16:45:54,2024-05-30,but you are,politics
@Bruce_G_Allen,16:45:53,2024-05-30,"Anyone who serves, or has served, on a granting panel knows that politics do not enter into the review process for research grants. 
Now, there may be special targeted programs that have been lobbied for ...",politics
@zubindittia,16:45:53,2024-05-30,"Yes they are, but you don't know India, much of the intelligentsia in the country speak English and Hindi. My point is that they can communicate better with Americans and that gives that relationship a natural advantage. Plus Indian culture and politics are closer to that of US.",politics
@Penny58398986,16:45:49,2024-05-30,Nope your American look at your own politics maybe that’s why it’s such a shit show!!!,politics
@VictoryCroi,16:45:47,2024-05-30,"To be a state you need defined borders, citizens and government.

Gaza has none of these things.  If they define their borders, they cant ""from the river to the sea"".  If they declare citizens they lose the ""right to return"" to a foreign state. Their politics are a 4-way gang war",politics
@StockMarke42414,16:45:46,2024-05-30,Minority appeasement politics after all ab hum 18 cr hain,politics
@Lazermonk,16:45:45,2024-05-30,"Yesterday - align yourself with a zionist.

Today - align yourself with one of the most hated men in welsh politics. 

I hope that when Starmer is PM, he at least does a much better job than they've done in Wales.",politics
@TheECSDI,16:45:44,2024-05-30,"SAVE THE DATE.
APGA Gubernetorial Candidate, Dr Isiah Osifo is live this SUNDAY AT 7PM on our X-spaces.

Come one come all. Please share widely.

It promises to be another interesting session.

#Edo2024
#politics
#APGA",politics
